roleId,actionId,orgId
1,createOrgUser,admin
1,listOrgs,admin
1,listUserOrgs,admin
1,createOrg,admin
1,getOrg,admin
1,updateOrg,admin
1,deleteOrg,admin
1,createSite,admin
1,deleteSite,admin
1,getSite,admin
1,listSites,admin
1,updateSite,admin
1,createResource,admin
1,deleteResource,admin
1,getResource,admin
1,listResources,admin
1,updateResource,admin
1,createTarget,admin
1,deleteTarget,admin
1,getTarget,admin
1,listTargets,admin
1,updateTarget,admin
1,createRole,admin
1,deleteRole,admin
1,getRole,admin
1,listRoles,admin
1,updateRole,admin
1,inviteUser,admin
1,listInvitations,admin
1,removeInvitation,admin
1,removeUser,admin
1,listUsers,admin
1,listSiteRoles,admin
1,listResourceRoles,admin
1,setResourceUsers,admin
1,setResourceRoles,admin
1,listResourceUsers,admin
1,listRoleResources,admin
1,addUserRole,admin
1,getOrgUser,admin
1,setResourcePassword,admin
1,setResourcePincode,admin
1,setResourceWhitelist,admin
1,getResourceWhitelist,admin
1,generateAccessToken,admin
1,deleteAcessToken,admin
1,listAccessTokens,admin
1,createResourceRule,admin
1,deleteResourceRule,admin
1,listResourceRules,admin
1,updateResourceRule,admin
1,listOrgDomains,admin
1,createNewt,admin
1,createIdp,admin
1,updateIdp,admin
1,deleteIdp,admin
1,listIdps,admin
1,getIdp,admin
1,createIdpOrg,admin
1,deleteIdpOrg,admin
1,listIdpOrgs,admin
1,updateIdpOrg,admin
1,checkOrgId,admin
1,createApiKey,admin
1,deleteApiKey,admin
1,setApiKeyActions,admin
1,setApiKeyOrgs,admin
1,listApiKeyActions,admin
1,listApiKeys,admin
1,getApiKey,admin
1,createOrgDomain,admin
1,deleteOrgDomain,admin
1,restartOrgDomain,admin
2,getOrg,admin
2,getResource,admin
2,listResources,admin
